i,Train,Validation,Test
1,0.741,0.772,0.707
2,0.913,0.949,0.87
3,0.931,0.952,0.91
4,0.952,0.969,0.917
5,0.947,0.967,0.919
6,0.955,0.977,0.935
7,0.967,0.978,0.948
8,0.971,0.984,0.954
9,0.972,0.988,0.959
10,0.976,0.981,0.95
11,0.97,0.983,0.952
12,0.975,0.985,0.95
13,0.977,0.985,0.957
14,0.979,0.988,0.955
15,0.975,0.985,0.945
16,0.971,0.968,0.935
17,0.977,0.987,0.951
18,0.977,0.984,0.956
19,0.978,0.985,0.961
20,0.983,0.986,0.964
21,0.979,0.989,0.965
22,0.981,0.985,0.965
23,0.98,0.986,0.96
24,0.985,0.989,0.971
25,0.985,0.988,0.966
26,0.985,0.991,0.971
27,0.986,0.991,0.973
28,0.987,0.99,0.972
29,0.989,0.994,0.972
30,0.989,0.989,0.973
31,0.986,0.992,0.977
32,0.987,0.992,0.975
33,0.985,0.992,0.975
34,0.987,0.992,0.969
35,0.988,0.994,0.971
36,0.986,0.993,0.97
37,0.987,0.993,0.971
38,0.987,0.99,0.975
39,0.986,0.993,0.974
40,0.987,0.992,0.971
41,0.986,0.993,0.974
42,0.986,0.99,0.977
43,0.986,0.993,0.976
44,0.987,0.992,0.977
45,0.988,0.993,0.976
46,0.988,0.994,0.971
47,0.989,0.993,0.975
48,0.988,0.99,0.974
49,0.988,0.992,0.978
50,0.988,0.992,0.972
51,0.987,0.994,0.974
52,0.988,0.994,0.97
53,0.986,0.993,0.976
