i,Train,Validation,Test
1,0.666,0.58,0.778
2,0.29,0.191,0.454
3,0.235,0.183,0.322
4,0.181,0.119,0.296
5,0.189,0.122,0.277
6,0.16,0.078,0.237
7,0.123,0.075,0.201
8,0.118,0.061,0.179
9,0.102,0.053,0.154
10,0.091,0.063,0.197
11,0.111,0.07,0.185
12,0.094,0.061,0.193
13,0.089,0.057,0.162
14,0.078,0.046,0.183
15,0.094,0.063,0.228
16,0.117,0.17,0.301
17,0.084,0.045,0.172
18,0.086,0.058,0.161
19,0.084,0.058,0.146
20,0.063,0.047,0.128
21,0.079,0.044,0.134
22,0.07,0.054,0.139
23,0.071,0.055,0.153
24,0.058,0.05,0.123
25,0.053,0.052,0.14
26,0.062,0.031,0.119
27,0.055,0.031,0.105
28,0.053,0.037,0.112
29,0.049,0.026,0.109
30,0.044,0.044,0.111
31,0.055,0.031,0.084
32,0.053,0.025,0.09
33,0.063,0.026,0.092
34,0.054,0.027,0.104
35,0.051,0.023,0.101
36,0.055,0.035,0.119
37,0.054,0.031,0.105
38,0.051,0.04,0.095
39,0.055,0.028,0.111
40,0.05,0.034,0.11
41,0.053,0.034,0.094
42,0.055,0.048,0.097
43,0.054,0.026,0.102
44,0.05,0.028,0.093
45,0.043,0.033,0.1
46,0.048,0.027,0.112
47,0.044,0.028,0.109
48,0.046,0.03,0.121
49,0.046,0.035,0.097
50,0.045,0.032,0.114
51,0.052,0.019,0.098
52,0.046,0.032,0.104
53,0.055,0.029,0.096
